"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"CELF2",2.18916419430633e-41,0.320875917448256,0.504,0.513,7.31552998811345e-37
"LIMD2",1.31113772353747e-40,0.300758001729103,0.51,0.519,4.38142893074517e-36
"CSRNP1",2.8108985236139e-40,0.499508251874643,0.197,0.165,9.39317959636056e-36
"AL691403.1",4.01713144589341e-40,0.474099003342025,0.156,0.12,1.3424048152742e-35
"MBD6",4.16114754528947e-40,0.438403209793184,0.171,0.136,1.39053067520938e-35
"FGD3",7.68937546836542e-40,0.402880953073578,0.224,0.19,2.56955860026367e-35
"ENTPD1",8.66590555226666e-40,0.500957057348339,0.186,0.151,2.89588565840095e-35
"SULF2",1.58246029570956e-38,0.385384651010363,0.133,0.098,5.28810757017265e-34
"PPP1R15A",3.19775615538541e-38,0.389355580899531,0.396,0.39,1.06859417444514e-33
"SIRPB1",3.95460478712581e-38,0.415475393721026,0.311,0.29,1.32151028171383e-33
"STK17B",4.91404889402319e-38,0.255454855705823,0.64,0.679,1.64212771891573e-33
"PDE4B",7.09630070998024e-38,0.470151445251142,0.191,0.157,2.3713708082541e-33
"LY96",1.29290440073032e-37,0.45272779867493,0.225,0.194,4.3204986359205e-33
"RGS18",4.6105475013255e-37,0.405889857638838,0.202,0.168,1.54070665851794e-32
"KATNBL1",7.28891566889299e-37,0.424825554611714,0.103,0.071,2.43573694907397e-32
"FLOT2",9.93588034240994e-37,0.404913728252531,0.367,0.358,3.32027313402313e-32
"PDE3B",1.09567199656854e-36,0.32489546823431,0.193,0.153,3.66140711093309e-32
"MYLIP",1.24392550949242e-36,0.409486869805885,0.216,0.182,4.15682587507083e-32
"PADI4",1.30239930816037e-36,0.349739888178323,0.189,0.151,4.35222776807952e-32
"RSRP1",3.70370225242054e-36,0.334551176189732,0.229,0.193,1.23766618169137e-31
"PAK1",1.31952573772261e-35,0.487383404263268,0.223,0.196,4.40945915774763e-31
"APOBR",1.47370880364115e-35,0.433649658998812,0.192,0.16,4.92469270912763e-31
"EFHD2",1.84409799331246e-35,0.293244397754331,0.53,0.556,6.16242226425225e-31
"TDP2",2.29179593790631e-35,0.364703324995027,0.129,0.096,7.6584944857015e-31
"MKNK2",3.98863923595773e-35,0.422770039050532,0.362,0.357,1.33288357347999e-30
"SEMA4D",6.92750865932285e-35,0.377805329327083,0.292,0.268,2.31496556868592e-30
"CDKN2D",1.14805910953435e-34,0.350562512196025,0.411,0.411,3.83646912633093e-30
"PXN",4.92548124431803e-34,0.375326022869098,0.395,0.398,1.64594806741376e-29
"ADGRE2",7.18945218172518e-34,0.511701099465665,0.204,0.174,2.4024992355671e-29
"NDE1",1.60775767688885e-33,0.356288761569251,0.107,0.077,5.37264382885946e-29
"CHST11",5.64451904576095e-33,0.439028192817483,0.201,0.169,1.88622892952194e-28
"OSER1",1.58309851759778e-32,0.350535464555815,0.122,0.092,5.29024031625652e-28
"CAMK2G",2.88966839901968e-32,0.343771286410822,0.111,0.081,9.65640488900406e-28
"AC008105.3",1.2731315308836e-31,0.281931119464038,0.113,0.082,4.25442363675371e-27
"CASC3",1.64095277230643e-31,0.363560929555737,0.142,0.111,5.48357187921639e-27
"IRS2",2.92347665642651e-31,0.481768665096082,0.342,0.335,9.76938194278048e-27
"SKAP2",2.60733828024934e-29,0.427395950470049,0.315,0.305,8.71294233110923e-25
"PIK3CD",4.4498376354199e-29,0.418608305329507,0.284,0.269,1.48700224262827e-24
"UBR2",6.94271786205298e-29,0.391531105162801,0.2,0.173,2.32004802796225e-24
"ZNF394",3.59637574810069e-28,0.367689190597534,0.168,0.139,1.20180088374281e-23
"ZFAS1",6.77309376878958e-28,0.286384780693611,0.406,0.404,2.26336474471641e-23
"NHSL2",9.96860224835506e-28,0.367110060312708,0.138,0.11,3.33120781333281e-23
"ALOX5",1.39134516176153e-27,0.410189476238541,0.283,0.266,4.6494581270585e-23
"ARPC4",1.90014493895293e-27,0.353675274377219,0.373,0.375,6.34971434249901e-23
"C16orf72",8.69082423422518e-27,0.362615423408201,0.151,0.123,2.90421273435103e-22
"CCNL1",1.79810543769403e-26,0.354910605794156,0.391,0.398,6.00872894114215e-22
"RALB",6.01355344238103e-26,0.379878115967766,0.212,0.187,2.00954915384047e-21
"S100A12",1.3763887500161e-25,-0.412368701290562,0.326,0.367,4.59947828592879e-21
"AGO4",1.76856722015787e-25,0.425200254010752,0.218,0.196,5.91002107960156e-21
"CEBPD",3.39590954257529e-25,0.352033549567565,0.377,0.368,1.13481109184238e-20
"IQSEC1",5.51205373384727e-25,0.401546131325372,0.225,0.204,1.84196299623974e-20
"TSC22D3",7.99142708801989e-25,0.358981681300553,0.455,0.475,2.67049519000361e-20
"FAM126B",5.29273893703586e-24,0.399705579385397,0.159,0.134,1.76867457058927e-19
"TNFRSF1A",8.04585638711885e-24,0.437389556831779,0.192,0.172,2.68868382888351e-19
"RNF19B",1.04511690395196e-23,0.410622706454826,0.243,0.225,3.49246715793626e-19
"RNF130",1.07917128595079e-23,0.348944419146684,0.368,0.373,3.60626668626175e-19
"RNASET2",1.92329740653872e-23,0.340493386317459,0.405,0.414,6.42708294343046e-19
"NOTCH1",1.94349535381387e-23,0.357761383063081,0.112,0.088,6.4945784238398e-19
"STAT6",4.23386612002267e-23,0.369532948354378,0.311,0.305,1.41483104132797e-18
"UBE2R2",1.0413398454678e-22,0.320742041389251,0.431,0.448,3.47984536159975e-18
"CIR1",7.91750288987434e-22,0.396210049015602,0.238,0.221,2.64579194070931e-17
"C14orf159",8.78582151493418e-22,0.355911329158409,0.119,0.095,2.93595797564555e-17
"CREB1",1.17581051750745e-21,0.353930871503531,0.192,0.169,3.92920600635465e-17
"ANXA11",1.44816823741709e-21,0.352960981318296,0.354,0.359,4.83934379897669e-17
"TRANK1",2.04384810040518e-21,0.352747618279196,0.143,0.119,6.82992719712399e-17
